Iteration,Epoch,Training Loss,Training Accuracy,Test Accuracy,Gradient Norm
269,9,0.03158560284972191,0.502,0.55,0.07470253849372976
270,9,0.03158560284972191,0.502,0.55,0.13679670812926525
271,9,0.03158560284972191,0.502,0.55,0.1437323596310455
272,9,0.03158560284972191,0.502,0.55,0.10292784231181847
273,9,0.03158560284972191,0.502,0.55,0.05203338897401807
274,9,0.03158560284972191,0.502,0.55,0.047153189840995674
275,9,0.03158560284972191,0.502,0.55,0.04333749025115933
276,9,0.03158560284972191,0.502,0.55,0.14194352970908833
277,9,0.03158560284972191,0.502,0.55,0.13725554312699975
278,9,0.03158560284972191,0.502,0.55,0.107636686820883
279,9,0.03158560284972191,0.502,0.55,0.08319235628480362
280,9,0.03158560284972191,0.502,0.55,0.1678747972303506
281,9,0.03158560284972191,0.502,0.55,0.19364213082721243
282,9,0.03158560284972191,0.502,0.55,0.07029461276833342
283,9,0.03158560284972191,0.502,0.55,0.14559603570032184
284,9,0.03158560284972191,0.502,0.55,0.0651874988108354
285,9,0.03158560284972191,0.502,0.55,0.18341579468151187
286,9,0.03158560284972191,0.502,0.55,0.024689029420015614
287,9,0.03158560284972191,0.502,0.55,0.16101658785936776
288,10,0.02724522638320923,0.528,0.56,0.17027456027306972
289,10,0.02724522638320923,0.528,0.56,0.05466871944281247
290,10,0.02724522638320923,0.528,0.56,0.0734602882282071
291,10,0.02724522638320923,0.528,0.56,0.21769307657715203
292,10,0.02724522638320923,0.528,0.56,0.062180965586748446
293,10,0.02724522638320923,0.528,0.56,0.1896337081121711
294,10,0.02724522638320923,0.528,0.56,0.1650815409539529
295,10,0.02724522638320923,0.528,0.56,0.10795759433285063
296,10,0.02724522638320923,0.528,0.56,0.08623427753955605
297,10,0.02724522638320923,0.528,0.56,0.1901625624184327
298,10,0.02724522638320923,0.528,0.56,0.15959164432455816
299,10,0.02724522638320923,0.528,0.56,0.11313611768743025
300,10,0.02724522638320923,0.528,0.56,0.09552805143464851
301,10,0.02724522638320923,0.528,0.56,0.07951264835024457
